variety_0,corrected_variety
NSIC Rc 220SR ( Japonica 1 ),NSIC Rc 220SR
PHB87,PHB87
LP296,NSIC Rc 404H
sl20,NSIC Rc 540H
NSIC Rc 494H ( Mestiso 84 ) Arize AZ 7888,NSIC Rc 494H
RC506,NSIC Rc 506
0,Undefined
NSIC Rc 158 ( Tubigan 13 ),NSIC Rc 158
NSIC Rc 422 ( Sahod Ulan 16 ),NSIC Rc 422
Rc 508,NSIC Rc 508
NSIC Rc 488H ( Mestiso 81 ),NSIC Rc 488H
NSIC Rc 236H ( Mestiso 28 ) US 88,NSIC Rc 236H
Arize AZ 8433 DT,Arize AZ 8433 DT
PSB Rc 34 ( Burdagol ),PSB Rc 34
NSIC Rc 138 ( Tubigan 5 ),NSIC Rc 138
LONGPING,NSIC Rc 404H
NSIC Rc 460 ( Zinc Rice 1 ),NSIC Rc 460
NSIC Rc 522H ( Mestiso 93 ) BIORICE 453 ( BIOSEED ),NSIC Rc 522H
SL8,NSIC Rc 132H
NSIC Rc 574 ( Sahod Ulan 29 ),NSIC Rc 574
BIORICE 650 ( BIOSEED ),BIORICE 650 (BIOSEED)
HABI,NSIC Rc 410H
red rice,NSIC Rc 508
226,NSIC Rc 226
NSIC Rc 214 ( Tubigan 16 ),NSIC Rc 214
JACKPOT,NSIC Rc 666H
NSIC Rc 356 ( Tubigan 29 ),NSIC Rc 356
NSIC Rc 412H ( Mestiso 70 ) Longping ( LP ) 205,NSIC Rc 412H
rc18,PSB Rc 18
DINORADO,Undefined
LP 937/NK 5017,NSIC Rc 456H
NSIC Rc 136H ( Mestiso 7 ),NSIC Rc 136H
SL-8H,NSIC Rc 132H
NSIC Rc 302 ( Tubigan 25 ),NSIC Rc 302
SL19H,NSIC Rc 488H
218,NSIC Rc 218SR
PIONEER,NSIC Rc 322H
SL-19H,NSIC Rc 488H
2222,NSIC Rc 222
rc 10,PSB Rc 10
NSIC Rc 502H ( Mestiso 88 ),NSIC Rc 502H
RC508,NSIC Rc 508
NSIC Rc 524H ( Mestiso 94 ),NSIC Rc 524H
NSIC Rc 202H ( Mestiso 19 ),NSIC Rc 202H
NSIC Rc 440 ( Tubigan 39 ),NSIC Rc 440
Quadro Alas,Quadro Alas
NSIC Rc 274 ( Sahod Ulan 3 ),NSIC Rc 274
NSIC Rc 510 ( Tubigan 43 ),NSIC Rc 510
pIONEER,NSIC Rc 322H
442,NSIC Rc 442
RC358,NSIC Rc 358
NSIC Rc 232H ( Mestiso 26 ),NSIC Rc 232H
Habilis,NSIC Rc 410H
BIORICE ZARAP ( BIOSEED ),BIORICE ZARAP (BIOSEED)
LP 937,NSIC Rc 456H
456,NSIC Rc 456H
0BIGANTE PLUS,NSIC Rc 314H
NSIC Rc 590  ( Submarino 2 ),NSIC Rc 590
RC222,NSIC Rc 222
NSIC Rc 290 ( Salinas 6 ),NSIC Rc 290
NSIC Rc 580 ( Tubigan 46 ),NSIC Rc 580
NSIC Rc 556 ( Salinas 32 ),NSIC Rc 556
PHB85,NSIC Rc 664H
"512, US 88",NSIC Rc 512
NSIC Rc 482SR ( Japonica 5 ),NSIC Rc 482SR
NSIC Rc 180H ( Mestiso 15 ),NSIC Rc 180H
US 88,NSIC Rc 236H
NSIC Rc 514 ( Tubigan 45 ),NSIC Rc 514
NSIC Rc 546H ( Mestiso 100 ),NSIC Rc 546H
518,NSIC Rc 518H
SL19,NSIC Rc 488H
rc506,NSIC Rc 506
NSIC Rc 570 ( Sahod Ulan 27 ),NSIC Rc 570
NK 5017,NSIC Rc 234H
NSIC Rc 374H ( Mestiso 58 ),NSIC Rc 374H
TH82,TH-82
NSIC Rc 650 ( Sahod Ulan 36 ),NSIC Rc 650
NSIC Rc 652H ( Mestiso 110 ),NSIC Rc 652H
NSIC Rc 23 ( Katihan 1 ),NSIC Rc 23
NSIC Rc 170 ( MS 11 ),NSIC Rc 170
BPI76,BPI-76
NSIC Rc 496H ( Mestiso 85 ),NSIC Rc 496H
rc222,NSIC Rc 222
SL20,NSIC Rc 540H
LP2096,NSIC Rc 404H
NSIC Rc 338 ( Salinas 17 ),NSIC Rc 338
LONGPING 534,NSIC Rc 486H
NSIC Rc 416 ( Sahod Ulan 13 ),NSIC Rc 416
