variety_0,corrected_variety
NSIC Rc 364H ( Mestiso 53 ),NSIC Rc 364H
432,NSIC Rc 442
0.95,Undefined
PSB Rc 30 ( Agus ),PSB Rc 30
TH84,TH-82
NSIC Rc 464 ( Salinas 22 ),NSIC Rc 464
NSIC Rc 488,NSIC Rc 488
Bulaw,Undefined
S1811,Undefined
long ping,NSIC Rc 404H
64,PSB Rc 64
Bigante  Plus,NSIC Rc 314H
NSIC Rc 598 ( Sahod Ulan 35 ),NSIC Rc 598
NSICRC222,NSIC Rc 222
RC420,NSIC Rc 420
NSIC Rc 548H ( Mestiso 101 ),NSIC Rc 548H
NK-5017,NSIC Rc 234H
DX,Undefined
R27,Undefined
sl-19,SL-19H
Nsic 436,NSIC Rc 436
0NSICRC222,NSIC Rc 222
GSR12,NSIC Rc 480
NSIN RC222,NSIC Rc 222
222/216,NSIC Rc 222
NSIC Rc 218,NSIC Rc 218SR
0SL8H,NSIC Rc 132H
LPL 2096,NSIC Rc 404H
USS88,NSIC Rc 236H
2000,Undefined
lp 937,NSIC Rc 456H
NK 50170,NSIC Rc 234H
NSIC RC 506,NSIC Rc 506
0PIONEER,NSIC Rc 492H
NSIC Rc 246H ( Mestiso 30 ),NSIC Rc 246H
380,NSIC Rc 480
SL19 H,NSIC Rc 488H
NSIC Rc 318H ( Mestiso 48 ),NSIC Rc 318H
s6003/nk5017,NSIC Rc 376H
phb85,NSIC Rc 664H
Lp,NSIC Rc 404H
NSIC Rc 386H ( Mestiso  64 ),NSIC Rc 386H
Rc 218,NSIC Rc 218SR
215,Undefined
sygon,Undefined
phb,NSIC Rc 176H
SL,Undefined
Rc218,NSIC Rc 218SR
NSIC Rc 452H ( Mestiso 76 ),NSIC Rc 452H
rc508,NSIC Rc 508
NSIC Rc 586H ( Mestiso 104 ),NSIC Rc 586H
0bigante,NSIC Rc 314H
Rc 436,NSIC Rc 436
th82,TH-82
NSIC RC 438,NSIC Rc 438
RC 534,NSIC Rc 534
BATAR,NSIC Rc 406H
606,NSIC Rc 606
rv 222,NSIC Rc 222
NSIC Rc 636 ( Tubigan 55 ),NSIC Rc 636
NSIC Rc 444H ( Mestiso 72 ),NSIC Rc 444H
NATIVE MARIA,Undefined
NSIC Rc 632 ( Tubigan 53 ),NSIC Rc 632
NSIC Rc 478 ( Sahod Ulan 25 ),NSIC Rc 478
SL39,NSIC Rc 488H
NSIC Rc 288 ( Sahod Ulan 10 ),NSIC Rc 288
bulaw,Undefined
RC218,NSIC Rc 218SR
POCPOCLO,Undefined
PL937,NSIC Rc 456H
NSIC Rc 172 ( MS 13 ),NSIC Rc 172
T2,Undefined
HSS,Undefined
longping 2096,NSIC Rc 404H
rc 2222,NSIC Rc 222
NSIC Rc 538H ( Mestiso 96 ),NSIC Rc 538H
LONGPING2096,NSIC Rc 404H
Native,Undefined
NSIC Rc 442,NSIC Rc 442
nk5070,NSIC Rc 234H
NKS60031,NSIC Rc 376H
308,NSIC Rc 308
budo24,Undefined
TB,Undefined
Mestiso 19,NSIC Rc 202H
PHB79/SL-8,NSIC Rc 322H
BIGANTR,NSIC Rc 314H
nsic rc 222,NSIC Rc 222
98,NSIC Rc 542H
s;l-8h,NSIC Rc 132H
74,PSB Rc 74
BIORice,NSIC Rc 522H
AZ 8433,Arize AZ 8433 DT
U888,NSIC Rc 236H
L02096,NSIC Rc 404H
rc10,PSB Rc 10
rc 402,NSIC Rc 402
DIAMOND X,Undefined
Rc436,NSIC Rc 436
Singenta,Undefined
PSB Rc 2 ( Nahalin ),PSB Rc 2
216 / 512,NSIC Rc 216
sl18h,SL-18H
NSIC Rc 366H ( Mestiso 54 ),NSIC Rc 366H
phb77,NSIC Rc 492H
516,Undefined
NSIC Rc 470 ( Salinas 25 ),NSIC Rc 470
LONGPING.5,NSIC Rc 486H
PSB Rc10,PSB Rc 10
NK2017,NSIC Rc 234H
SL68,NSIC Rc 132H
NSIC Rc 526H ( Mestiso 95 ),NSIC Rc 526H
TALIWAW,Undefined
NSIC Rc 620H ( Mestiso 109 ),NSIC Rc 620H
132H,NSIC Rc 132H
NSIC Rc 640,NSIC Rc 640
angelica,Undefined
Lp 937,NSIC Rc 456H
NSIC Rc222,NSIC Rc 222
SL-20H,NSIC Rc 540H
LAV777,LAV 777
258,Undefined
0RC 222,NSIC Rc 222
BATAN,NSIC Rc 406H
PIONEER 21,Undefined
46,NSIC Rc 314H
rc 46,NSIC Rc 460
phb45,NSIC Rc 664H
NSIC Rc 18,PSB Rc 18
Rc 441,NSIC Rc 442
RC100,NSIC Rc 546H
redrice,NSIC Rc 508
SP,Undefined
NSIC Rc 432H ( Mestiso 71 ),NSIC Rc 432H
SL8HY,NSIC Rc 132H
"NK5017, HABILIS",NSIC Rc 234H
NSIC Rc 398 ( Tubigan 34 ),NSIC Rc 398
S12,NSIC Rc 328
NSIC Rc 680 ( Tubigan 61 ),NSIC Rc 680
SL8h,NSIC Rc 132H
M 20H,Undefined
NIC,Undefined
555,Undefined
LP 957,NSIC Rc 456H
55,Undefined
NSIC Rc 242SR ( Japonica 2 ),NSIC Rc 242SR
SL 7,Undefined
420,NSIC Rc 420
56,Undefined
NK507,NSIC Rc 234H
CS222,NSIC Rc 222
Pacorsa,Undefined
Binalaw,Undefined
SL A9,Undefined
Sl20,NSIC Rc 540H
uss 88,NSIC Rc 236H
AZ7888,NSIC Rc 236H
C-18,Undefined
NSIC Rc160,NSIC Rc 160
1517,NSIC Rc 234H
NSIC Rc 388H ( Mestiso  65 ),NSIC Rc 388H
LONGPING 2096,NSIC Rc 404H
phb 87,PHB87
v,Undefined
NK 6410,NSIC Rc 234H
0phb82,PHB83
NSIC RC 488H,NSIC RC 488H
NSIC Rc 382H ( Mestiso  62 ),NSIC Rc 382H
NSIC Rc 138,NSIC Rc 138
GRS12,NSIC Rc 480
blonde,Undefined
PHB34/SL20H,SL-20H
S219,NSIC Rc 488H
"HABILIS, NK5017",NSIC Rc 410H
2093,NSIC Rc 404H
14,NSIC Rc 140
0BIG,NSIC Rc 314H
slh8,NSIC Rc 132H
NSIC Rc 612 ( Salinas 38 ),NSIC Rc 612
105,Undefined
0.9,Undefined
0rc222,NSIC Rc 222
NSIC Rc 292 ( Salinas 7 ),NSIC Rc 292
SL-8H/LP 2096,NSIC Rc 132H
NSIC Rc 160,NSIC Rc 160
0RC216,NSIC Rc 216
Katose,Undefined
3.54,NSIC Rc 354
NSIC Rc 334 ( Salinas 15 ),NSIC Rc 334
NSIC Rc 668H ( Mestiso 118 ),NSIC Rc 668H
TAIWAN,Undefined
RED,Undefined
PH377,PHB77
Rc508,NSIC Rc 508
bioseeds,NSIC Rc 372H
NSIC Rc 448H ( Mestiso 74 ),NSIC Rc 448H
CANORA,Undefined
SLS-8,NSIC Rc 132H
Sl-8h,NSIC Rc 132H
2166,NSIC Rc 216
rc516,NSIC Rc 536
Farmers Seed,Undefined
BATUNI BIGANTE,NSIC Rc 314H
NK50170,NSIC Rc 234H
Mestizo 19,NSIC Rc 202H
0BIGANTE,NSIC Rc 314H
N,Undefined
Rc 160,NSIC Rc 160
AZ888,NSIC Rc 494H
sl,Undefined
Lp 2096,NSIC Rc 404H
"PJ7, RC222",NSIC Rc 222
RC532,NSIC Rc 532
rc 214,NSIC Rc 214
66,Undefined
lonping,NSIC Rc 384H
PIONEER 73,NSIC Rc 322H
NSIC RC 222,NSIC Rc 222
AZ 7888,NSIC Rc 494H
dinurado,Undefined
0LP 2096,NSIC Rc 404H
LP 9016,NSIC Rc 404H
224,NSIC Rc 224
C 218,NSIC Rc 218SR
LP[,NSIC Rc 384H
SLB H,NSIC Rc 132H
LP936,NSIC Rc 456H
Rc 572,NSIC Rc 572
buigante,NSIC Rc 314H
us 88,NSIC Rc 236H
PHB 77,NSIC Rc 492H
longping 937,NSIC Rc 456H
MATARI,NSIC Rc 406H
Bio-rice,Undefined
batari/nk5017,NSIC Rc 406H
2118,NSIC Rc 218SR
m20,NSIC Rc 204H
"S6003, SL 8H, NK",NSIC Rc 376H
rc128,NSIC Rc 128
rc29,NSIC Rc 29
PHP,Undefined
MESTIZO,Undefined
BHB77,NSIC Rc 492H
Sigenta,Undefined
rc7216,NSIC Rc 216
BATAKI,NSIC Rc 406H
NSIC Rc 588H ( Mestiso 105 ),NSIC Rc 588H
LongPing2096,NSIC Rc 404H
0SL 8H,NSIC Rc 132H
KN 17,NSIC Rc 234H
NSIC Rc 476 ( Sahod Ulan 24 ),NSIC Rc 476
Sl19h,NSIC Rc 488H
"SL8H, NK5017",NSIC Rc 132H
LP2026,NSIC Rc 404H
C1,Undefined
nk 5071,NSIC Rc 234H
"NK, LP",NSIC Rc 234H
SL8/BIGANTE,NSIC Rc 132H
0PHB79,NSIC Rc 322H
FARMERS SEED,Undefined
NSIC RC 512,NSIC Rc 512
MILAGROSA,Undefined
521,NSIC Rc 512
Milagrosa,Undefined
26,NSIC Rc 308
Th 82,TH-82
Th82,TH-82
J12,Undefined
CAMERVIC,Undefined
NSIC Rc 332 ( Salinas 14 ),NSIC Rc 332
PSB Rc 26H ( Magat ),PSB Rc 26H
Bulao,Undefined
NSIC Rc 414SR ( Japonica 4 ),NSIC Rc 414SR
430,NSIC Rc 430
"HABILIS, BIGANTE",NSIC Rc 410H
NSIC 2015 Rc 408H,NSIC Rc 408H
NSIC Rc 520H ( Mestiso 92 ),NSIC Rc 520H
NSIC Rc 530 ( Salinas 27 ),NSIC Rc 530
diamond,Undefined
537,Undefined
RC 82,PSB Rc 82
Bio453,NSIC Rc 522H
rc512,NSIC Rc 512
RC534,NSIC Rc 534
PSB Rc 10,PSB Rc 10
50,NSIC Rc 322H
rc28,PSB Rc 28
phb78,PHB87
US 88/ NK 5017,NSIC Rc 236H
pj34,Undefined
OTHER,Undefined
Rc152,NSIC Rc 152
Rc20,PSB Rc 20
16,Undefined
RTC 442,NSIC Rc 442
NSIC Rc 642SR ( Pigmented 3 ),NSIC Rc 642SR
0s6003,NSIC Rc 376H
LS88,NSIC Rc 236H
Nsic Rc 508,NSIC Rc 508
GIGANTE BATARI,NSIC Rc 314H
arpani,Undefined
ph82,Undefined
NK5070,NSIC Rc 234H
NSIC Rc 368H ( Mestiso 55 ),NSIC Rc 368H
NSIC RC436,NSIC Rc 436
Longping 937,NSIC Rc 456H
Denorado,Undefined
0LP397,NSIC Rc 456H
120,NSIC Rc 120
LP2056,NSIC Rc 404H
Rc 506,NSIC Rc 506
rc 436,NSIC Rc 436
RC 480,NSIC Rc 480
RC27,NSIC Rc 27
DINORADOS,Undefined
LP-534,NSIC Rc 486H
bUHAY,Undefined
Nsic 508,NSIC Rc 508
sl 19,NSIC Rc 488H
NSIC Rc442,NSIC Rc 442
NSIC Rc 572 ( Sahod Ulan 28 ),NSIC Rc 572
0RC400,NSIC Rc 400
SL 20H,NSIC Rc 540H
Bibante plus,NSIC Rc 314H
rc 438,NSIC Rc 438
428,NSIC Rc 428
NSIC Rc 142,NSIC Rc 142
BULAN,Undefined
SL3,Undefined
SL18,SL-18H
RC 128,NSIC Rc 128
0LP2096,NSIC Rc 404H
NSIC Rc 618H ( Mestiso 108 ),NSIC Rc 618H
lp97,NSIC Rc 456H
NSIC RC 510,NSIC Rc 510
MINDANAO,Undefined
NSIC Rc 266H ( Mestiso 40 ),NSIC Rc 266H
Kaliga,Undefined
RC5212,NSIC Rc 512
nsic rc 508,NSIC Rc 508
Rc 308,NSIC Rc 308
488H,NSIC Rc 488H
NK250,NSIC Rc 234H
NSIC 132H,NSIC Rc 132H
LongPing,NSIC Rc 404H
BIGANTES,NSIC Rc 314H
Begantw,NSIC Rc 314H
sl8h0,NSIC Rc 132H
glutarinos,Undefined
rc160,NSIC Rc 160
P8B96,Undefined
lp534/nk5017,NSIC Rc 486H
SL 18H,SL-18H
Biomile,Undefined
T9,Undefined
RC122,NSIC Rc 122
NSIC Rc 506,NSIC Rc 506
PH79,NSIC Rc 322H
6008,NSIC Rc 376H
LONGPINE,NSIC Rc 384H
NSIC Rc 25 ( Katihan 2 ),NSIC Rc 25
bigante Plus,NSIC Rc 314H
GSR15,NSIC Rc 480
G1,Undefined
katago,Undefined
NSIC Rc 662H ( Mestiso 115 ),NSIC Rc 662H
Phb 79,NSIC Rc 322H
RC 432,Undefined
RC438,NSIC Rc 438
LP96,NSIC Rc 404H
rc480,NSIC Rc 480
NSIC Rc 198H ( Mestiso 17 ),NSIC Rc 198H
NSIC Rc 558 ( Salinas 33 ),NSIC Rc 558
NSIC Rc 31SR ( Malagkit 6 ),NSIC Rc 31SR
P937,NSIC Rc 456H
NKS60003,NSIC Rc 376H
NSIC RC 160,NSIC Rc 160
423,Undefined
0NK 5017,NSIC Rc 234H
MALANTAW,Undefined
L640,Undefined
216/222,NSIC Rc 216
536,NSIC Rc 536
PHB850,NSIC Rc 664H
66 Pula,Undefined
SUPER HYBRID,Undefined
RedRice,NSIC Rc 508
NSIC Rc 362H ( Mestiso 52 ),NSIC Rc 362H
"SL8H,NK5017,LP",NSIC Rc 132H
ADVANTA,Undefined
UPL,Undefined
Rc 841,Undefined
RC502,Undefined
PIONEEER,NSIC Rc 588H
habiles,NSIC Rc 410H
RC 2222,NSIC Rc 222
R5,Undefined
NSIC Rc 130,NSIC Rc 130
SPX,Undefined
Ind,Undefined
Lp534,NSIC Rc 486H
PHB 73,NSIC Rc 176H
Puwa,Undefined
BIORICE 453,NSIC Rc 522H
NSIC Rc 468 ( Salinas 24 ),NSIC Rc 468
SL90,Undefined
Rc216,NSIC Rc 216
SL003,NSIC Rc 376H
"PHB79, BATURI",NSIC Rc 322H
1.3,Undefined
p79,NSIC Rc 322H
"LP2096, LP20534",NSIC Rc 404H
480.28,Undefined
39,Undefined
rC 18,PSB Rc 18
rc 480,NSIC Rc 480
SL-8H.NK 5017,NSIC Rc 132H
Rc440,NSIC Rc 440
"NK, 222",NSIC Rc 234H
TH80,Undefined
Nk,NSIC Rc 234H
upland,Undefined
640,NSIC Rc 640SR
333,Undefined
Rc123,Undefined
lav 777,LAV 777
RCEF,Undefined
USBB,NSIC Rc 236H
B8gante,NSIC Rc 314H
PH1382,Undefined
0.79,Undefined
3600,Undefined
NSIC RC 402,NSIC Rc 402
phb b79,NSIC Rc 322H
PHH79,NSIC Rc 322H
nigante,NSIC Rc 314H
Pioneer79,NSIC Rc 322H
NSIC Rc 206H,NSIC Rc 206H
184,NSIC Rc 184
RC 16,NSIC Rc 160
Sl19,NSIC Rc 488H
syngeta,Undefined
LONGPING 937,NSIC Rc 456H
pink rice,Undefined
batari,NSIC Rc 406H
BIGATE,NSIC Rc 314H
NK50A,NSIC Rc 234H
Lp2096,NSIC Rc 404H
320,Undefined
RED MARIA,Undefined
"SL8,222",NSIC Rc 132H
OTHERS,Undefined
THUNDER,Undefined
422,NSIC Rc 422
lp/ sl19,NSIC Rc 384H
0.3,Undefined
5603,Undefined
"NK5017, S6003, PHB79",NSIC Rc 234H
POKLO,Undefined
622,NSIC Rc 622
P46,Undefined
Us88,NSIC Rc 236H
XL20,Undefined
15,Undefined
"BATARI, HABILIS",NSIC Rc 406H
bigante plus,NSIC Rc 314H
PSB Rc 6 ( Carranglan ),PSB Rc 6
Damgang,Undefined
hybred,Undefined
132,NSIC Rc 132H
114,Undefined
Psb Rc 18,PSB Rc 18
504,Undefined
PHB74,Undefined
RC403,Undefined
Maharlika,Undefined
M 20,Undefined
GRS15,NSIC Rc 480
Habilis Plus,NSIC Rc 410H
BIG,NSIC Rc 314H
2,PSB Rc 2
Pocpoclo,Undefined
SL8A,NSIC Rc 132H
S6003 NK5017,NSIC Rc 376H
Nsic 2016,NSIC Rc 216
38874,Undefined
EC 222,NSIC Rc 222
426,NSIC Rc 426
L2096,NSIC Rc 404H
Nk 5017,NSIC Rc 234H
Sygenta,Undefined
Q.ALAS,Quadro Alas
LongPing 2096,NSIC Rc 404H
RC 218,NSIC Rc 218SR
RC116,Undefined
redrive,Undefined
"RC222, SL-8H",NSIC Rc 222
NSIC Rc 394 ( Tubigan 32 ),NSIC Rc 394
Ingpin,NSIC Rc 384H
137,Undefined
"nk5017, habilis",NSIC Rc 234H
nsic rc 480,NSIC RC 480
Rc128,NSIC Rc 128
bundagol,PSB Rc 34
LP973,NSIC Rc 456H
DIAMANTE,Undefined
SG003,NSIC Rc 376H
LP537,NSIC Rc 456H
HP,Undefined
NSIC 488H,NSIC 488H
nikita,Undefined
3,Undefined
Psb Rc18,PSB Rc 18
LP/ SL 8H/ NK 5017,NSIC Rc 384H
0RC442,NSIC Rc 442
BIO PLUS,Undefined
PSB RC 34,PSB Rc 34
BIGANTE BATARI,NSIC Rc 314H
"BIGANTE, HABILIS",NSIC Rc 314H
GOLDENRICE,Undefined
NSIC Rc22,NSIC Rc 222
300,NSIC Rc 300
TH85,Undefined
"BATARI, BIGANTE",NSIC Rc 406H
RC208,Undefined
DIAMOND,Undefined
"HABI;I, PHB79",NSIC Rc 410H
rc358,NSIC Rc 358
RC 46,NSIC Rc 460
NK S6003,NSIC Rc 234H
RC408,Undefined
BIGABTE,NSIC Rc 314H
double diamond,Undefined
0S6003,NSIC Rc 376H
NSIC Rc 638SR ( Pigmented 1 ),NSIC Rc 638SR
sl 20h,NSIC Rc 540H
palawan,Undefined
NSIC Rc 370H ( Mestiso 56 ),NSIC Rc 370H
404,Undefined
LP205,NSIC Rc 412H
NSIC Rc 660H ( Mestiso 114 ),NSIC Rc 660H
LP PHB79,NSIC Rc 322H
NK8H,NSIC Rc 234H
RC37,Undefined
BLACKRICE,Undefined
0SL8,NSIC Rc 132H
21,NSIC Rc 21SR
216/480,NSIC Rc 216
nk5051,NSIC Rc 234H
TH-82,TH-82
RC401,Undefined
rc 160,NSIC Rc 160
RC42,NSIC Rc 420
156,NSIC Rc 156
1.2,Undefined
PHB70,Undefined
Az 7888,NSIC Rc 494H
phb 72,Undefined
Kupo-Kupo,Undefined
LP 1096,NSIC Rc 404H
PHB770,NSIC Rc 492H
0NSIC RC 222,NSIC Rc 222
NSIC Rc 684 ( Zinc Rice 3 ),NSIC Rc 684
JACKPOT102,NSIC Rc 666H
NSIC Rc 294 ( Salinas 8 ),NSIC Rc 294
PHBB73,NSIC Rc 176H
458,NSIC Rc 458H
221,Undefined
69,NSIC Rc 410H
IBGANTE,NSIC Rc 314H
mestizo,Undefined
NL5017,NSIC Rc 234H
BIGAANTE,NSIC Rc 314H
R16,NSIC Rc 160
NSIC Rc 118,NSIC Rc 118
Lonping,NSIC Rc 384H
S26,Undefined
pioneer 79,NSIC Rc 322H
NSIC 400,NSIC Rc 400
NSIC Rc 624 ( Tubigan 49 ),NSIC Rc 624
rc502,Undefined
NSIC46,NSIC Rc 314H
242,NSIC Rc 242SR
lp 534,NSIC Rc 534
c10,PSB Rc 10
"BATARI, SL-8H",NSIC Rc 406H
NSIC Rc10,Undefined
BIGANTEPLUS,NSIC Rc 314H
rc 400,NSIC Rc 400
4.2,Undefined
RCC 218,NSIC Rc 218SR
158,NSIC Rc 158
NISC Rc216,NSIC Rc 216
SL 8,NSIC Rc 132H
UL88,NSIC Rc 236H
TIMBI,Undefined
Rrc 300,NSIC Rc 300
GSR16,NSIC Rc 480
psb96,Undefined
PSB Rc 8,PSB Rc 8
G350,NSIC Rc 350H
S603,NSIC Rc 376H
p,Undefined
4800,NSIC Rc 480
4554,NSIC Rc 454H
FARMNERS SEED,Undefined
NSIC Rc 326 ( Salinas 11 ),NSIC Rc 326
0PHB85,NSIC Rc 664H
NSIC RC512,NSIC Rc 512
KASAKAS,Undefined
DOUBLE D,Undefined
4402,NSIC Rc 440
NSIC RC 216,NSIC Rc 216
RC463,NSIC Rc 462
Palaawan 64,Undefined
LongPing 534,NSIC Rc 486H
Rc  18,PSB Rc 18
NSIC222/LP,NSIC Rc 222
B-PLUS,Undefined
RC 84,Undefined
RC 215,Undefined
48,NSIC Rc 318H
durado,Undefined
bp,Undefined
Nk5015,NSIC Rc 234H
RC 400,NSIC Rc 400
Nsic Rc222,NSIC Rc 222
IN,Undefined
NK511,NSIC Rc 234H
RC 216,NSIC Rc 216
LP937/2096,NSIC Rc 456H
NSIC Rc 576 ( Sahod Ulan 30 ),NSIC Rc 576
NSIC 508,NSIC Rc 508
902,Undefined
Nsic508,NSIC Rc 508
MASIPAG,Undefined
Rc 404H,NSIC Rc 404H
TH,Undefined
"SL8,NK",NSIC Rc 132H
NSIC Rc 264H ( Mestiso 39 ),NSIC Rc 264H
biagnte,NSIC Rc 314H
gsr15,NSIC Rc 480
226/nk 5017,NSIC Rc 226
Lp 2096/phb 79,NSIC Rc 404H
BATUKI,NSIC Rc 406H
"BIGANTE, BATARI",NSIC Rc 314H
NSIC Rc 484SR ( Japonica 6 ),NSIC Rc 484SR
BROWN,Undefined
SL2096,NSIC Rc 404H
0PHB 79,NSIC Rc 322H
NSIC Rc 278 ( Sahod Ulan 5 ),NSIC Rc 278
SNK5017,NSIC Rc 234H
501,Undefined
456H,NSIC Rc 456H
BATARI/NK 5017,NSIC Rc 406H
IL 29,NSIC Rc 404H
56003,NSIC Rc 376H
Rc534,NSIC Rc 534
100,Undefined
Thunder,Undefined
NK/222,NSIC Rc 222
RC 438,NSIC Rc 438
"SL 8H, BIGANTE PLUS",NSIC Rc 132H
"HABILIS, BATARI",NSIC Rc 410H
Phb 77,NSIC Rc 492H
rc218,NSIC Rc 218SR
936,Undefined
s219,NSIC Rc 488H
0SL 20,NSIC Rc 540H
andani,Undefined
Rc 438,NSIC Rc 438
NK  5017,NSIC Rc 234H
NK 51017,NSIC Rc 234H
rc400,NSIC Rc 400
NIS5017,NSIC Rc 234H
sl18,SL-18H
NK5012,NSIC Rc 234H
0habilis/nk5017,NSIC Rc 410H
NK517/PIONEER,NSIC Rc 234H
nsic 436,NSIC Rc 436
19,Undefined
Bigante Plus & PHB79,NSIC Rc 314H
PLP534,NSIC Rc 486H
GLOBAL 350,Undefined
BATURI,NSIC Rc 406H
rc215,Undefined
LP0,NSIC Rc 384H
LP 937/2096,NSIC Rc 456H
nj5017,NSIC Rc 234H
Nsic 222,NSIC Rc 222
RC 640,NSIC Rc 640SR
mestizo 19,NSIC Rc 202H
HB,Undefined
Taiwan,Undefined
RC22,PSB Rc 22
QUadro Alas,Quadro Alas
0PHB77,NSIC Rc 492H
NSIC Rc436,NSIC Rc 436
THB2,TH-82
bio seed,Undefined
59,Undefined
2220,NSIC Rc 222
RC518,Undefined
R40,NSIC Rc 400
BIOTIN,Undefined
NR,Undefined
LPA37,NSIC Rc 456H
PH 79,NSIC Rc 322H
0batari,NSIC Rc 406H
VK5017,NSIC Rc 234H
PHB790,NSIC Rc 322H
rc438,NSIC Rc 438
LB,Undefined
NSICRC512,NSIC Rc 512
rc 222i,NSIC Rc 222
Phb,NSIC Rc 176H
SL 8h,NSIC Rc 132H
P73,NSIC Rc 176H
123,Undefined
RC 415,NSIC Rc 416
OHB79,NSIC Rc 322H
NSIC401,NSIC Rc 402
NSIC 222,NSIC Rc 222
nsic rc 436,NSIC Rc 436
0RC402,NSIC Rc 402
RC 422,NSIC Rc 422
SL  8H,NSIC Rc 132H
176H,NSIC Rc 176H
NSIC Rc 634 ( Tubigan 54 ),NSIC Rc 634
rc408,Undefined
S34,Undefined
SL-8H/LP2096,NSIC Rc 132H
KATAGO,Undefined
rC442,NSIC Rc 442
65,NSIC Rc 388H
28,Undefined
rc56,PSB Rc 56
NSIC Rc 626 ( Tubigan 50 ),NSIC Rc 626
0.54,Undefined
Bio rice,Undefined
236,Undefined
LP2016,NSIC Rc 404H
Mestizo 20H,NSIC Rc 204H
Katago,Undefined
NSIC Rc506,NSIC Rc 506
Miracle,Undefined
bigantew,NSIC Rc 314H
HB79,NSIC Rc 322H
"SL8H, LP 2096",NSIC Rc 132H
PSB Rc18,PSB Rc 18
PHB97,NSIC Rc 322H
PU-PUMO,Undefined
RC45,Undefined
rc 120,NSIC Rc 120
IR56,Undefined
taiwan,Undefined
LP-937,NSIC Rc 456H
NSIC RC480,NSIC Rc 480
Biagnte,NSIC Rc 314H
BLACK RICE,Undefined
SL -8H,NSIC Rc 132H
214,NSIC Rc 214
r12,NSIC Rc 174H
0HABILIS,NSIC Rc 410H
RS,Undefined
C15,Undefined
Sl8u,NSIC Rc 132H
HYBRID,Undefined
RC300,NSIC Rc 300
LONG PIN,NSIC Rc 404H
RC 543,NSIC Rc 534
Bigqnte,NSIC Rc 314H
0syngenta,Undefined
NSIC222,NSIC Rc 222
LONGPIN 2096,NSIC Rc 404H
Ba5ari,NSIC Rc 406H
BIASCAO,Undefined
syngante,NSIC Rc 362H
Rc506,NSIC Rc 506
BULAWAN,Undefined
176,Undefined
GRS 12,NSIC Rc 480
75,Undefined
Red18,Undefined
0nk5017/s6003,NSIC Rc 234H
"Bigante Plus, PHB79",NSIC Rc 314H
RC402/RC222,NSIC Rc 402
202,Undefined
BUNGKITAN,Undefined
SLS8,NSIC Rc 132H
Rc438,NSIC Rc 438
rc100,NSIC Rc 546H
IR73885-1-4-3-2-1-6,IR73885-1-4-3-2-1-6
Phb-79,NSIC Rc 322H
Batari Indra,NSIC Rc 406H
Misola,Undefined
260,Undefined
BIO RICE,Undefined
L 8H,NSIC Rc 132H
US8,NSIC Rc 236H
514,NSIC Rc 514
S6003/222,NSIC Rc 376H
OSB Rc10,PSB Rc 10
in,Undefined
PH379,NSIC Rc 322H
nk507,NSIC Rc 234H
BPI 76,Undefined
PHB 798,NSIC Rc 322H
BGANTE,NSIC Rc 314H
BINORADO,Undefined
RC46,NSIC Rc 460
nk5017/lp2096,NSIC Rc 234H
RC5,Undefined
0.75,Undefined
LP512,NSIC Rc 486H
puwa,Undefined
big,NSIC Rc 314H
"NK,480,222",NSIC Rc 480
SH,Undefined
Bro seeds,Undefined
rc2 22,NSIC Rc 222
540H,NSIC Rc 540H
NK 17,NSIC Rc 234H
Rc 156,NSIC Rc 156
92,Undefined
CS 8H,NSIC Rc 132H
s-8h,NSIC Rc 132H
T 2,TH-82
RCM3,Undefined
BIO453,NSIC Rc 522H
PHB-79,NSIC Rc 322H
"BATARI, BIGANTE, HABILIS",NSIC Rc 406H
B+,Undefined
SYGATA,Undefined
LP 936,NSIC Rc 456H
180,Undefined
49,Undefined
PINOEER,Undefined
130,Undefined
434,Undefined
br,Undefined
HYNRID,Undefined
777,Undefined
RC516,NSIC Rc 536
Katiban,Undefined
Taiwa,Undefined
RC48,Undefined
222/LP,Undefined
Golden Rice,Undefined
SYGENTA,Undefined
LP932,NSIC Rc 456H
BIBIGANTE,NSIC Rc 314H
5057,NSIC Rc 234H
nk5017/bigante,NSIC Rc 234H
Phh79,NSIC Rc 322H
sl20h,NSIC Rc 540H
GOLDEN RICE,Undefined
SL-8H/NK 5017,NSIC Rc 132H
Red turner,Undefined
528,NSIC Rc 528
0.7,Undefined
NSIC132H,NSIC Rc 132H
PSB Rc 52,PSB Rc 52
PACOSA,Undefined
NSIC Rc 268H ( Mestiso 41 ),NSIC Rc 268H
NK 501,NSIC Rc 234H
GS16,Undefined
Red Rice,NSIC Rc 508
SL-9H,NSIC Rc 132H
PHB7,NSIC Rc 492H
238,NSIC Rc 238
RAC,Undefined
Rc 220,NSIC Rc 220SR
habilis/nk5017,NSIC Rc 410H
NSIC Rc 150,NSIC Rc 150
BIgante,NSIC Rc 314H
Lp937,NSIC Rc 456H
560B,Undefined
BIGANTE  PLUS,NSIC Rc 314H
SL-8h,NSIC Rc 132H
black rice,Undefined
Rc 27,Undefined
NSIC RC222,NSIC Rc 222
NSIC Rc 552H ( Mestiso 103 ),NSIC Rc 552H
0longping,NSIC Rc 404H
NSICRc160,NSIC Rc 160
NSIC 2016 Rc 432H,NSIC Rc 432H
SL8 H,NSIC Rc 132H
0T2,Undefined
HABIBIS,NSIC Rc 410H
